,Employee_No,Employee_Code,Name,Title,Gender,Religion_ID,Marital_Status,Designation_ID,Date_Joined,Date_Resigned,Status,Inactive_Date,Reporting_emp_1,Reporting_emp_2,Employment_Category,Employment_Type,Religion,Designation,Year_of_Birth
678,2044,1795062,Mireille Bergnaum,Mr,Male,1,Married,124,8/20/2021,5/9/2022,Inactive,5/9/2022,\N,\N,Labour,Contarct Basis,Buddhist,Mason,1963
679,2045,1795063,Allene Larson,Mr,Male,1,Married,124,8/20/2021,6/6/2022,Inactive,6/6/2022,\N,\N,Labour,Contarct Basis,Buddhist,Mason,1968
680,2048,1795065,Prof Patrick Kohler,Mr,Male,1,Married,31,8/21/2021,4/2/2022,Inactive,4/2/2022,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1991
681,2049,1795066,Prof Lonie O'Hara,Ms,Male,1,Single,31,8/21/2021,5/9/2022,Inactive,5/9/2022,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1991
682,2050,1795067,Laverne Hudson,Mr,Male,1,Married,124,8/21/2021,4/2/2022,Inactive,4/2/2022,\N,\N,Labour,Contarct Basis,Buddhist,Mason,1975
683,2053,1795070,Rachelle Kling,Mr,Male,1,Married,31,8/21/2021,11/30/2022,Inactive,11/30/2022,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1974
684,2054,1795071,Mrs Stacy Larson,Mr,Male,1,Married,31,8/23/2021,4/30/2022,Inactive,4/30/2022,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1966
685,2057,1795074,Estell Bins MD,Mr,Male,1,Married,31,8/23/2021,5/7/2022,Inactive,5/7/2022,\N,\N,Labour,Permanant,Buddhist,Unskilled Labor,1978
686,2059,1795076,Miss Eden Runolfsson,Mr,Male,1,Married,124,8/23/2021,4/2/2022,Inactive,4/2/2022,\N,\N,Labour,Contarct Basis,Buddhist,Mason,1955
687,2060,1795077,Meredith Kuhic PhD,Mr,Male,1,Married,124,8/23/2021,4/1/2022,Inactive,4/1/2022,\N,\N,Labour,Contarct Basis,Buddhist,Mason,1975
688,2062,1795079,Erica Barton,Mr,Male,1,Married,31,8/23/2021,4/2/2022,Inactive,4/2/2022,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1967
689,2063,5329,Prof Freda Eichmann,Mr,Male,1,Married,22,8/23/2021,4/30/2022,Inactive,4/30/2022,2064,\N,Staff,Contarct Basis,Buddhist,Technical Officer,1994
690,2065,204001,Jerrell Witting,Mr,Male,1,Married,122,8/20/2021,3/16/2022,Inactive,3/16/2022,\N,\N,Labour,Contarct Basis,Buddhist,Security,1978
691,2068,204004,Prof Dusty Purdy Sr,Mr,Male,1,Single,129,8/20/2021,\N,Active,\N,\N,\N,Labour,Contarct Basis,Buddhist,Stores Helper,1997
692,2070,204006,Ms Rafaela Johns MD,Ms,Female,1,Married,31,8/21/2021,10/31/2021,Inactive,10/31/2021,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1988
693,2073,1795080,Oceane Krajcik I,Ms,Male,1,Married,124,8/25/2021,5/7/2022,Inactive,5/7/2022,\N,\N,Labour,Contarct Basis,Buddhist,Mason,1955
694,2079,196144,Floyd Brown,Mr,Male,1,Married,24,8/17/2021,3/22/2022,Inactive,3/22/2022,\N,\N,Labour,Contarct Basis,Buddhist,Driver,1976
695,2080,196145,Prof Alaina Wolf,Mr,Male,1,Single,31,8/20/2021,1/20/2022,Inactive,1/20/2022,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,2003
696,2085,196146,Prof Geoffrey Weber IV,Mr,Male,1,Married,24,8/26/2021,2/10/2022,Inactive,2/10/2022,\N,\N,Labour,Contarct Basis,Buddhist,Driver,1986
697,2086,196147,Libby Rice,Mr,Male,1,Married,24,8/26/2021,4/9/2022,Inactive,4/9/2022,\N,\N,Labour,Contarct Basis,Buddhist,Driver,1977
698,2088,51018,Eugene Windler,Mr,Male,1,Single,56,8/31/2021,\N,Active,\N,\N,\N,Labour,Contarct Basis,Buddhist,Helper,2002
699,2089,195034,Prof Carmelo Adams,Mr,Male,3,Single,31,8/27/2021,\N,Active,\N,\N,\N,Labour,Contarct Basis,Hindu,Unskilled Labor,2002
700,2093,193177,Adonis Runolfsdottir,Mr,Male,1,Married,31,8/25/2021,10/31/2021,Inactive,10/31/2021,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1972
701,2094,5333,Noelia Cremin,Mr,Male,1,Married,22,8/31/2021,\N,Active,\N,673,\N,Staff,Contarct Basis,Buddhist,Technical Officer,1989
702,2096,193178,Hilma Bartell,Mr,Male,1,Married,31,8/13/2021,10/31/2021,Inactive,10/31/2021,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1994
703,2097,195035,Cortez Bartoletti,Mr,Male,3,Single,31,8/27/2021,\N,Active,\N,\N,\N,Labour,Contarct Basis,Hindu,Unskilled Labor,2002
704,2101,1795090,Daron Bahringer,Mr,Male,1,Single,124,9/1/2021,4/7/2022,Inactive,4/7/2022,\N,\N,Labour,Contarct Basis,Buddhist,Mason,0
705,2102,1795091,Jalyn Maggio,Mr,Male,1,Married,31,9/1/2021,3/31/2022,Inactive,3/31/2022,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1966
706,2105,1795094,Treva Powlowski,Mr,Male,1,Single,31,9/1/2021,3/29/2022,Inactive,3/29/2022,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,0
707,2106,1795095,Prof Braxton Bode DVM,Mr,Male,1,Single,31,9/2/2021,4/30/2022,Inactive,4/30/2022,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1985
708,2107,5334,Isadore Kirlin,Mr,Male,1,Married,78,9/1/2021,5/6/2022,Inactive,5/6/2022,\N,\N,Staff,Contarct Basis,Buddhist,Assistant Accountant,1985
709,2110,5337,Etha Wolf,Mr,Male,1,Married,83,9/1/2021,12/18/2021,Inactive,12/18/2021,\N,\N,Staff,Contarct Basis,Buddhist,Mechanical Engineer,1993
710,2111,5338,Prof Clay Buckridge,Mr,Male,1,Married,33,9/1/2021,12/27/2021,Inactive,12/27/2021,\N,\N,Staff,Contarct Basis,Buddhist,Site Engineer,1994
711,2112,5339,Deja Durgan,Mr,Male,1,Married,22,9/1/2021,10/1/2021,Inactive,10/1/2021,\N,\N,Staff,Contarct Basis,Buddhist,Technical Officer,1986
712,2116,1795098,Samanta Williamson,Mr,Male,1,Married,124,9/6/2021,4/9/2022,Inactive,4/9/2022,\N,\N,Labour,Contarct Basis,Buddhist,Mason,1991
713,2119,5340,Meredith Becker,Mr,Male,1,Married,6,9/8/2021,9/7/2022,Inactive,9/7/2022,2709,\N,Staff,Contarct Basis,Buddhist,Project Manager,1982
714,2120,1795099,Dashawn Kassulke,Mr,Male,1,Married,31,9/9/2021,3/30/2022,Inactive,3/30/2022,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1969
715,2121,195037,Mr Demarco Shields,Mr,Male,1,Married,43,9/4/2021,3/29/2022,Inactive,3/29/2022,\N,\N,Labour,Contarct Basis,Buddhist,Operator - JCB,1991
716,2122,1795100,Tanner Hegmann,Mr,Male,1,Single,124,9/10/2021,4/7/2022,Inactive,4/7/2022,\N,\N,Labour,Contarct Basis,Buddhist,Mason,2000
